offense,hfa,defense,ppa
Georgia Southern,-1.0,Old Dominion,-0.126302256434185
Georgia Southern,-1.0,Old Dominion,1.464451732731337
Old Dominion,1.0,Georgia Southern,1.74575882921609
Old Dominion,1.0,Georgia Southern,0.8637737405625003
Old Dominion,1.0,Georgia Southern,-0.603484792590886
Old Dominion,1.0,Georgia Southern,2.067936525322223
Georgia Southern,-1.0,Old Dominion,0.0267710372198131
Georgia Southern,-1.0,Old Dominion,-0.3418939310329067
Georgia Southern,-1.0,Old Dominion,-0.1409504060348146
Georgia Southern,-1.0,Old Dominion,-0.6316651216926239
Georgia Southern,-1.0,Old Dominion,1.6470187718810134
Georgia Southern,-1.0,Old Dominion,-0.226207639518348
Georgia Southern,-1.0,Old Dominion,0.23895223760503
Georgia Southern,-1.0,Old Dominion,-0.79367343776231
Georgia Southern,-1.0,Old Dominion,-3.208293065310576
Georgia Southern,-1.0,Old Dominion,-0.557844891990525
Arkansas State,-1.0,Louisiana,-0.028184277766515997
Louisiana,1.0,Arkansas State,-1.456436989817803
Arkansas State,-1.0,Louisiana,-0.22025114108216304
Arkansas State,-1.0,Louisiana,0.2822103172169043
Arkansas State,-1.0,Louisiana,0.0762998322947821
Louisiana,1.0,Arkansas State,0.0945451165334843
Louisiana,1.0,Arkansas State,0.6510389234935428
Louisiana,1.0,Arkansas State,-0.5636556424854965
Louisiana,1.0,Arkansas State,-0.4188055231076804
Louisiana,1.0,Arkansas State,-0.1106730777209516
Louisiana,1.0,Arkansas State,0.882790408022334
Louisiana,1.0,Arkansas State,-0.3748730062798895
Louisiana,1.0,Arkansas State,-0.182910644371269
Arkansas State,-1.0,Louisiana,-0.2150808966639328
Arkansas State,-1.0,Louisiana,-0.16801479549459056
Louisiana,1.0,Arkansas State,0.8882814492712194
Louisiana,1.0,Arkansas State,-0.5624807137180827
Louisiana,1.0,Arkansas State,0.10196714081650703
Louisiana,1.0,Arkansas State,1.124751479041831
Louisiana,1.0,Arkansas State,0.1104483361431646
Arkansas State,-1.0,Louisiana,0.07707751106059126
Louisiana,1.0,Arkansas State,0.5933280805103037
Arkansas State,-1.0,Louisiana,0.11799458931045856
Louisiana,1.0,Arkansas State,0.9356122235199473
Louisiana,1.0,Arkansas State,-0.2082608414129847
Louisiana,1.0,Arkansas State,-0.3204076759721195
Arkansas State,-1.0,Louisiana,-0.24791478712197265
Arkansas State,-1.0,Louisiana,1.1493929077979796
Louisiana,1.0,Arkansas State,1.6335325339896425
Louisiana,1.0,Arkansas State,-0.1622709044233037
Louisiana,1.0,Arkansas State,1.70456642136992
Louisiana,1.0,Arkansas State,0.813726981782512
Louisiana,1.0,Arkansas State,1.033414342023031
Arkansas State,-1.0,Louisiana,-0.22662764690566295
Louisiana,1.0,Arkansas State,0.3370848727167229
Louisiana,1.0,Arkansas State,0.3306530303353374
